"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall"
34027041705,"Parsippany, Parsippany-Troy Hills, NJ",62369
36085017010,"Richmond County, NY",62363
36005024400,"Bronx County, NY",62334
36059411901,"Lynbrook, NY",62332
36047060000,"Kings County, NY",62312
34003004001,"Bogota, NJ",62161
34013018000,"West Orange, NJ",62146
36005027402,"Bronx County, NY",62121
36081119900,"Queens County, NY",62096
36047041401,"Kings County, NY",62084
36119005902,"New Rochelle, NY",62073
36047039200,"Kings County, NY",62040
36081109700,"Queens County, NY",62024
34039033700,"Roselle Park, NJ",61970
36081073100,"Queens County, NY",61926
36081050700,"Queens County, NY",61895
34003031300,"Lyndhurst, NJ",61891
34013014200,"Belleville, NJ",61891
36081144100,"Queens County, NY",61881
36081047600,"Queens County, NY",61880
34013019900,"Maplewood, NJ",61812
36047070000,"Kings County, NY",61803
34003016000,"Englewood Cliffs, NJ",61802
36047035602,"Kings County, NY",61799
36059410400,"Valley Stream, NY",61753
34003031100,"Lyndhurst, NJ",61710
36061020101,"Upper Manhattan, New York, NY",61702
36085022600,"Richmond County, NY",61692
36081080301,"Queens County, NY",61691
36085020803,"Richmond County, NY",61671
36085013204,"Richmond County, NY",61666
36047037401,"Kings County, NY",61665
36061015900,"Lincoln Square, New York, NY",61599
34039037300,"Cranford, NJ",61595
34039037500,"Springfield Township, NJ",61595
34013013500,"Nutley, NJ",61578
34003055200,"Tenafly, NJ",61536
36047074800,"Kings County, NY",61515
36081063900,"Queens County, NY",61467
36061011401,"Lenox Hill, New York, NY",61466
36005030100,"Bronx County, NY",61465
36119001502,"Southeast Yonkers, Yonkers, NY",61460
34013014100,"Belleville, NJ",61415
36059517102,"Glen Cove, NY",61404
34003052200,"Saddle Brook, NJ",61395
36059301800,"Manhasset, NY",61318
36081104700,"Queens County, NY",61309
34031124402,"Clifton, NJ",61297
36047016500,"Kings County, NY",61290
36047039000,"Kings County, NY",61259
34003013001,"Edgewater, NJ",61214
34039033800,"Roselle Park, NJ",61148
36047068600,"Kings County, NY",61143
34003019103,"Fort Lee, NJ",61140
34003031400,"Lyndhurst, NJ",61140
36081049700,"Queens County, NY",61135
36085014607,"Richmond County, NY",61078
36085027301,"Richmond County, NY",61043
36059410500,"Valley Stream, NY",60982
36061010800,"Midtown, New York, NY",60917
36085014608,"Richmond County, NY",60908
36081012100,"Queens County, NY",60891
36081157102,"Queens County, NY",60878
36047005000,"Kings County, NY",60863
36085027302,"Richmond County, NY",60856
36081074700,"Queens County, NY",60831
36047015000,"Kings County, NY",60808
34023007101,"Sayreville, NJ",60786
36061010602,"Lenox Hill, New York, NY",60769
36081134100,"Queens County, NY",60758
36061010400,"Midtown, New York, NY",60746
34003041302,"Palisades Park, NJ",60726
34003011100,"Elmwood Park, NJ",60676
36059412800,"South Hempstead, NY",60668
36047049700,"Kings County, NY",60664
36085014606,"Richmond County, NY",60661
36061006800,"Kips Bay, New York, NY",60647
34013017400,"West Orange, NJ",60627
36061004400,"Midtown, New York, NY",60619
36081092900,"Queens County, NY",60548
36059416402,"Long Beach, NY",60529
36059413600,"Baldwin, NY",60528
36081051500,"Queens County, NY",60505
34003005000,"Carlstadt, NJ",60487
36059303600,"Mineola, NY",60462
36119001503,"Southeast Yonkers, Yonkers, NY",60450
34027043000,"Madison, NJ",60447
34003038100,"North Arlington, NJ",60424
36061016700,"Upper West Side, New York, NY",60409
36085027705,"Richmond County, NY",60399
36085029104,"Richmond County, NY",60397
36085027706,"Richmond County, NY",60361
36061011203,"Midtown, New York, NY",60343
36081052500,"Queens County, NY",60290
36005016000,"Bronx County, NY",60279
36085017600,"Richmond County, NY",60249
36047064800,"Kings County, NY",60216
36081119100,"Queens County, NY",60177
36061015500,"Lincoln Square, New York, NY",60162
34003051300,"Rutherford, NJ",60105
36085013203,"Richmond County, NY",60102
36081008800,"Queens County, NY",60091
36047014000,"Kings County, NY",60050
36081075701,"Queens County, NY",60039
36085015603,"Richmond County, NY",60035
34017011200,"Constable Hook, Bayonne, NJ",60019
36081118100,"Queens County, NY",60009
34003006202,"Cliffside Park, NJ",59994
